total sulfur dioxide,density,pH,sulphates,alcohol,quality
73,0.99654,3.34,0.57,10,5
46,0.99332,3.32,0.51,11.8,6
57,0.9969,3.37,0.46,10.3,5
57,0.9969,3.37,0.46,10.3,5
28,0.99568,3.35,0.52,10,5
32,0.99464,3.36,0.44,10.1,5
28,0.99464,3.36,0.44,10.1,5
67,0.99648,3.6,0.59,11.1,6
98,0.99736,3.28,0.5,9.5,5
28,0.99704,3.07,0.65,10.03333333,6
38,0.99699,3.24,0.56,10.9,5
54,0.99724,3.36,0.54,10.1,5
28,0.99704,3.07,0.65,10.03333333,6
63,0.99652,3.29,0.48,9.8,4
31,0.995,3.46,0.53,11.8,6
42,0.9971,3.18,0.62,9.5,5
45,0.99576,3.24,0.5,9.8,5
105,0.99725,3.25,1.18,10.5,6
74,0.99656,3.27,0.5,9.8,6
8,0.99396,3.33,0.37,10.4,4
66,0.99623,3,1.17,9.2,5
14,0.99476,3.21,1.03,11.6,6
66,0.99623,3,1.17,9.2,5
89,0.99664,3.24,0.45,9.3,5
29,0.99471,3.32,0.51,9.8,3
100,0.99586,3.26,0.52,9.9,5
31,0.9946,3.11,0.46,10,5
74,0.9953,3.71,0.62,12.2,6
28,0.99609,3.29,0.51,9.9,6
35,0.99557,3.36,0.62,10.8,6
35,0.99557,3.36,0.62,10.8,6
25,0.99534,3.38,0.45,9.6,5
105,0.99613,3.3,0.49,9.9,5
105,0.99613,3.3,0.49,9.9,5
84,0.99593,3.19,0.5,9.5,5
85,0.99668,3.19,0.42,9.2,5
23,0.9961,3.3,0.58,9.6,5
23,0.9961,3.3,0.58,9.6,5
49,0.99718,3.35,0.68,10.3,5
111,0.99524,3.1,0.53,9.7,5
33,0.99292,3.58,0.59,12.5,6
33,0.99612,3.37,0.58,11,5
12,0.9942,3.17,0.48,9.8,5
59,0.99612,3.3,0.48,10.2,5
73,0.99669,3.32,0.48,9.2,5
12,0.99745,3.31,0.65,9.55,6
11,0.99745,3.31,0.65,9.55,5
104,0.99584,3.28,0.52,9.9,5
28,0.9966,3.52,0.62,10.2,7
24,0.9956,3.42,0.72,11.1,6
141,0.9962,3.25,0.51,9.9,5
141,0.9962,3.25,0.51,9.9,5
24,0.9963,3.44,0.82,11.9,6
13,0.996,3.23,1.1,10,8
46,0.9985,3.43,0.62,10.7,6
34,0.9952,3.28,0.9,11.3,7
22,0.9974,3.22,0.94,10.9,6
54,0.995,3.54,0.93,10.7,6
53,0.995,3.27,1.01,12.4,7
54,0.995,3.54,0.93,10.7,6
16,0.9936,3.5,0.44,11.9,6
19,0.9963,3.56,0.73,10.6,6
22,0.9974,3.22,0.94,10.9,6
89,0.9963,3.04,0.9,10.1,5
15,0.9994,3.2,0.78,9.6,5
18,0.9966,3.56,0.84,9.4,5
15,0.9994,3.2,0.78,9.6,5
37,0.9952,3.35,0.77,12.1,7
19,0.995,3.16,0.46,9.8,5
133,0.9956,3.27,0.45,9.9,5
19,0.995,3.16,0.46,9.8,5
58,0.9965,3.34,0.58,9.4,5
55,0.9956,3.39,0.84,11.4,6
31,0.9968,3.5,0.67,11,4
23,0.9974,3.26,0.7,9.6,6
23,0.9974,3.26,0.7,9.6,6
60,0.9971,3.41,0.71,12.1,6
23,0.9957,3.3,0.58,11.2,5
55,0.9962,3.31,0.63,11,5
67,0.996,3.33,0.93,11.3,5
47,0.9956,3.37,0.62,10.4,5
74,0.9958,3.26,0.54,9.9,6
11,0.9944,3.48,0.85,11.7,6
25,0.9955,3.42,0.74,10.1,7
95,1.00369,3.18,0.77,9,6
95,1.00369,3.18,0.77,9,6
90,0.99914,3.15,0.65,8.5,5
39,0.99577,3.53,0.54,11.1,5
8,0.996,3.41,0.47,10.3,5
92,0.99566,3.32,0.68,11.06666667,6
28,0.9947,3.23,0.73,11.3,7
98,0.99713,3.16,0.52,9.566666667,6
30,0.99712,3.4,0.75,9.8,5
22,0.99322,3.38,0.49,11.7,5
92,0.99566,3.32,0.68,11.1,6
98,0.99713,3.16,0.52,9.6,6
30,0.99712,3.4,0.75,9.8,5
39,0.99701,3.4,0.74,9.7,5
54,0.99683,3.4,0.73,9.7,5
29,0.99472,3.23,0.76,11.3,8
28,0.9947,3.23,0.73,11.3,7
17,0.99732,3.33,0.78,11,7
53,0.99374,3.35,0.76,11.6,7
85,0.99706,3.41,0.58,9,5
23,0.99974,3.21,0.69,10.9,6
17,0.99467,3.5,0.63,10.9,6
89,0.99236,3.3,0.5,10.55,6
85,0.99706,3.41,0.58,9,5
20,0.99603,3.39,0.6,10.5,5
15,0.99458,3.32,0.8,11.9,7
64,0.99724,3.41,0.68,10.4,6
13,0.99664,3.59,0.61,10,4
31,0.99545,3.36,0.58,10.4,6
39,0.99522,3.34,0.53,10.8,6
53,0.9958,3.41,0.67,9.7,5
53,0.9958,3.41,0.67,9.7,5
54,0.99728,3.3,0.65,10,7
32,0.99648,3.52,0.57,11,4
54,0.99728,3.3,0.65,10,7
49,0.99705,3.31,0.55,9.7,3
24,0.99578,2.88,0.47,9.7,5
16,0.99334,3.43,0.52,12.6,5
44,0.99656,3.38,0.79,11.1,6
45,0.99336,3.38,0.54,11,5
82,1.00242,3.16,0.75,8.8,5
89,0.99182,3.54,0.88,13.56666667,7
82,1.00242,3.16,0.75,8.8,5
89,0.99182,3.54,0.88,13.6,7
14,0.99808,3.4,0.52,10.2,3
22,0.99828,3.39,0.68,10.6,5
13,0.99498,3.66,0.62,10.1,4
22,0.99828,3.39,0.68,10.6,5
9,0.99719,3.33,0.57,10.3,4
12,0.99542,3.35,0.61,10.7,5
11,0.99592,3.53,0.64,10.9,4
25,0.99606,3.37,0.55,9.7,5
23,0.99546,3.38,0.6,10.3,5
17,0.99496,3.52,0.78,10.6,5
13,0.9942,3.72,0.58,11.4,5
11,0.99448,3.44,0.76,10.8,6
18,0.99344,3.39,0.56,12.4,6
13,0.9942,3.72,0.58,11.4,5
18,0.99348,3.57,0.54,11.95,5
147,0.99636,3.26,0.59,9.7,5
28,0.99459,3.42,0.7,10,7
28,0.99492,3.35,0.81,10.6,6
147,0.99636,3.26,0.59,9.7,5
16,0.99508,3.45,0.63,11.5,6
13,0.99582,3.53,0.58,10.8,6
16,0.99508,3.45,0.63,11.5,6
15,0.99508,3.26,0.53,9.6,5
64,0.99642,3.16,0.53,9.4,5
60,0.99638,3.31,0.54,9.8,5
14,0.99555,3.51,0.69,11,6
12,0.99605,3.36,0.55,11.4,6
12,0.996,3.55,0.63,9.95,3
14,0.99562,3.51,0.66,10.8,6
12,0.99605,3.36,0.55,11.4,6
25,0.99814,3.38,0.72,10.6,6
20,0.9941,3.28,0.7,11.1,5
48,0.99661,3.47,0.77,9.7,6
27,0.99712,3.44,0.67,9.8,5
17,0.99588,3.53,0.65,10.4,6
65,0.99294,3.33,0.6,10.5,6
65,0.99842,3.53,0.72,9.233333333,6
65,0.99842,3.53,0.72,9.25,6
58,0.99633,3.42,0.97,10.6,5
44,0.99489,3.38,0.83,10.3,6
20,0.99647,3.32,0.63,10.5,5
27,0.99665,3.44,0.58,10.2,5
44,0.99489,3.38,0.83,10.3,6
23,0.99585,3.39,0.43,9.05,4
58,0.99633,3.42,0.97,10.6,5
61,0.9953,3.34,0.6,10.4,5
47,0.99522,3.39,0.78,10,6
34,0.99552,3.33,0.64,9.7,5
38,0.99553,3.3,0.65,9.6,6
24,0.9951,3.29,0.66,10.8,6
59,0.99714,3.31,0.67,10.1,6
52,0.99608,3.42,0.6,10.2,6
18,0.99444,3.42,0.69,11.3,6
28,0.99631,3.6,0.66,10.2,5
22,0.99573,3.21,0.68,9.9,6
84,0.99717,3.39,0.61,9,5
29,0.99397,3.42,0.62,11.7,7
35,0.9959,3.36,0.59,9.7,6
45,0.99528,3.6,0.68,10.3,6
31,0.99484,3.5,0.64,10.2,6
26,0.99538,3.57,0.63,12,5
60,0.99714,3.46,0.78,9.9,5
32,0.99646,3.56,0.63,11.6,6
49,0.99666,3.4,0.76,10.9,7
38,0.99472,3.3,0.56,10.75,6
19,0.99758,3.25,0.57,10.4,6
19,0.9955,3.17,0.81,11.2,7
28,0.99531,3.36,0.64,10.1,6
26,0.99575,3.36,0.61,10.2,5
26,0.99306,3.55,0.51,12.1,5
50,0.99783,3.1,0.58,10.4,5
24,0.99419,3.24,0.7,11.4,8
26,0.99783,3.45,0.53,9.5,5
27,0.99768,3.44,0.54,9.4,5
54,0.99586,3.51,0.66,11.3,6
28,0.99765,3.41,0.6,9.4,5
23,0.99627,3.54,0.6,11,6
24,0.99514,3.44,0.68,10.55,7
20,0.99636,3.53,0.56,9.9,5
23,0.99627,3.54,0.6,11,6
115,0.99787,3.22,0.56,9.5,5
131,0.99622,3.21,0.52,9.9,5
131,0.99622,3.21,0.52,9.9,5
131,0.99622,3.21,0.52,9.9,5
20,0.99546,3.29,0.54,10.1,5
20,0.99546,3.29,0.54,10.1,5
20,0.99546,3.29,0.54,10.1,5
42,0.99489,3.39,0.82,10.9,6
52,0.99494,3.34,0.71,11.2,6
20,0.99546,3.29,0.54,10.1,5
42,0.99629,3.34,0.59,9.2,5
34,0.99396,3.48,0.57,11.5,6
35,0.9934,3.37,0.93,12.4,6
25,0.99514,3.44,0.65,11.1,6
104,0.99632,3.33,0.51,9.5,5
50,0.99467,3.58,0.67,12.5,6
92,0.99677,3.39,0.48,10.5,6
20,0.99474,3.26,0.64,11.8,6
29,0.99588,3.3,0.78,10.8,6
27,0.99622,3.54,0.6,11.9,6
20,0.9954,3.42,0.67,11.3,6
32,0.99402,3.54,0.6,11.3,5
26,0.9947,3.36,0.6,11.9,6
32,0.99402,3.54,0.6,11.3,5
27,0.99362,3.57,0.5,11.9,5
98,0.99578,3.33,0.62,9.8,5
34,0.99484,3.29,0.8,11.6,7
48,0.99494,3.3,0.84,11.5,6
60,0.99492,3.34,0.85,11.4,6
28,0.99483,3.55,0.66,10.9,6
102,0.99414,3.27,0.78,12.8,6
79,0.9977,3.29,0.54,9.2,5
35,0.99314,3.32,0.82,11.6,6
26,0.99402,3.67,0.56,11.6,6
40,0.99574,3.42,0.75,11,6
38,0.99651,3.42,0.82,9.5,6
44,0.9949,3.45,0.58,10.5,5
51,0.99512,3.52,0.76,11.2,6
40,0.99574,3.42,0.75,11,6
44,0.99547,3.57,0.71,10.2,5
42,0.99549,3.39,0.66,11,6
